HRG_Code,HRG_Desc,HRG_Version,HRG_Type,Exc_All_Settings,HRG_Chapter_Code,HRG_Chapter_Desc,HRG_SubChapter_Code,HRG_SubChapter_Desc
BZ34C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ40Z,Very Complex Oculoplastics Procedures,4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ41A,"Complex Oculoplastics Procedures, 19 years and over, with CC Score 2+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ41B,"Complex Oculoplastics Procedures, 19 years and over, with CC Score 0-1",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ42A,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ42B,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ43Z,"Complex or Very Major, Oculoplastics Procedures, 18 years and under",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ44A,"Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ44B,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ44C,"Major Oculoplastics Procedures, 18 years and under",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ45A,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ45B,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ45C,"Intermediate Oculoplastics Procedures, between 4 and 18 years",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ45D,"Intermediate Oculoplastics Procedures, 3 years and under",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ46A,"Minor Oculoplastics Procedures, 19 years and over",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ46B,"Minor Oculoplastics Procedures, 18 years and under",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ50Z,"Very Complex, Orbit or Lacrimal Procedures, 19 years and over",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ51A,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ51B,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ52Z,"Very Complex or Complex, Orbit or Lacrimal Procedures, 18 years and under",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ53A,"Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ53B,"Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ54A,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ54B,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ55Z,"Very Major or Major, Orbit or Lacrimal Procedures, 18 years and under",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ56A,"Intermediate, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ56B,"Intermediate, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ56C,"Intermediate, Orbit or Lacrimal Procedures, 18 years and under",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ57A,"Minor, Orbit or Lacrimal Procedures, 19 years and over",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ57B,"Minor, Orbit or Lacrimal Procedures, 18 years and under",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ60A,"Very Complex, Cornea or Sclera Procedures, with CC Score 2+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ60B,"Very Complex, Cornea or Sclera Procedures, with CC Score 0-1",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ61A,"Complex, Cornea or Sclera Procedures, with CC Score 2+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ61B,"Complex, Cornea or Sclera Procedures, with CC Score 0-1",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ62A,"Very Major, Cornea or Sclera Procedures, with CC Score 1+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ62B,"Very Major, Cornea or Sclera Procedures, with CC Score 0",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ63A,"Major, Cornea or Sclera Procedures, with CC Score 1+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ63B,"Major, Cornea or Sclera Procedures, with CC Score 0",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ64A,"Intermediate, Cornea or Sclera Procedures, with CC Score 1+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ64B,"Intermediate, Cornea or Sclera Procedures, with CC Score 0",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ65Z,"Minor, Cornea or Sclera Procedures",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ70Z,Complex Ocular Motility Procedures,4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ71A,"Very Major Ocular Motility Procedures, 19 years and over",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ71B,"Very Major Ocular Motility Procedures, 18 years and under",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ72A,"Major Ocular Motility Procedures, 19 years and over",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ72B,"Major Ocular Motility Procedures, between 4 and 18 years",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ72C,"Major Ocular Motility Procedures, 3 years and under",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ73A,"Intermediate Ocular Motility Procedures, 19 years and over",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ73B,"Intermediate Ocular Motility Procedures, 18 years and under",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ74Z,Minor Ocular Motility Procedures,4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ80A,"Very Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ80B,"Very Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ81A,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ81B,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ82Z,"Very Complex or Complex, Vitreous Retinal Procedures, 18 years and under",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ83A,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ83B,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ84A,"Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ84B,"Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ85Z,"Very Major or Major, Vitreous Retinal Procedures, 18 years and under",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
BZ86A,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",4+,C,N,B,Eyes and Periorbita,BZ,Eyes and Periorbita Procedures and Disorders
