OPCS_L4_Code,OPCS_L4_Desc,OPCS_L3_Code,OPCS_L3_Desc,OPCS_L2_Code,OPCS_L2_Desc,OPCS_L1_Code,OPCS_L1_Desc,OPCS_Version,OPCS_Status
A049,A049: Unspecified open biopsy of lesion of tissue of brain,A04,A04: Open biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A051,A051: Drainage of abscess of tissue of brain,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A052,A052: Evacuation of haematoma from temporal lobe of brain,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A053,A053: Evacuation of haematoma from cerebellum,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A054,A054: Evacuation of intracerebral haematoma NEC,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A058,A058: Other specified drainage of lesion of tissue of brain,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A059,A059: Unspecified drainage of lesion of tissue of brain,A05,A05: Drainage of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A061,A061: Excision of basal encephalocele,A06,A06: Other excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.7,Live
A062,A062: Excision of occipital encephalocele,A06,A06: Other excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.7,Live
A063,A063: Excision of syncipital encephalocele,A06,A06: Other excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.7,Live
A064,A064: Repair of post-traumatic meningoencephalocele,A06,A06: Other excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.7,Live
A068,A068: Other specified other excision of lesion of tissue of brain,A06,A06: Other excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.7,Live
A069,A069: Unspecified other excision of lesion of tissue of brain,A06,A06: Other excision of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.7,Live
A071,A071: Open division of tissue of brain,A07,A07: Other open operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A072,A072: Removal of foreign body from tissue of brain,A07,A07: Other open operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A073,A073: Exploration of tissue of brain,A07,A07: Other open operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A074,A074: Excision of abscess of tissue of brain,A07,A07: Other open operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.3,Live
A075,A075: Multiple subpial transections,A07,A07: Other open operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.3,Live
A076,A076: Complete callosotomy,A07,A07: Other open operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.3,Live
A077,A077: Partial callosotomy,A07,A07: Other open operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.3,Live
A078,A078: Other specified other open operations on tissue of brain,A07,A07: Other open operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A079,A079: Unspecified other open operations on tissue of brain,A07,A07: Other open operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A081,A081: Biopsy of lesion of tissue of frontal lobe of brain NEC,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A082,A082: Biopsy of lesion of tissue of temporal lobe of brain NEC,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A083,A083: Biopsy of lesion of tissue of parietal lobe of brain NEC,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A084,A084: Biopsy of lesion of tissue of occipital lobe of brain NEC,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A085,A085: Biopsy of lesion of tissue of cerebellum NEC,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A086,A086: Biopsy of lesion of tissue of brain stem NEC,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A088,A088: Other specified other biopsy of lesion of tissue of brain,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A089,A089: Unspecified other biopsy of lesion of tissue of brain,A08,A08: Other biopsy of lesion of tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A091,A091: Implantation of neurostimulator into brain,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A092,A092: Maintenance of neurostimulator in brain,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A093,A093: Removal of neurostimulator from brain,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A094,A094: Operation on neurostimulator in brain NEC,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.3,Live
A095,A095: Insertion of neurostimulator electrodes into the brain,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.3,Live
A098,A098: Other specified neurostimulation of brain,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A099,A099: Unspecified neurostimulation of brain,A09,A09: Neurostimulation of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A101,A101: Leucotomy NEC,A10,A10: Other operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A102,A102: Aspiration of abscess of tissue of brain,A10,A10: Other operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A103,A103: Aspiration of haematoma of tissue of brain,A10,A10: Other operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A104,A104: Aspiration of lesion of tissue of brain NEC,A10,A10: Other operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A105,A105: Puncture of tissue of brain NEC,A10,A10: Other operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A106,A106: Insertion of carmustine wafers in neoplasm of tissue of brain,A10,A10: Other operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.3,Live
A107,A107: Stereotactic radiosurgery on tissue of brain,A10,A10: Other operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.3,Live
A108,A108: Other specified other operations on tissue of brain,A10,A10: Other operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A109,A109: Unspecified other operations on tissue of brain,A10,A10: Other operations on tissue of brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.2,Live
A111,A111: Placement of depth electrodes for electroencephalography,A11,A11: Operations on Tissue of Brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.5,Live
A112,A112: Placement of surface electrodes for electroencephalography,A11,A11: Operations on Tissue of Brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.5,Live
A113,A113: Monitoring of pressure in tissue of brain,A11,A11: Operations on Tissue of Brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.5,Live
A114,A114: Cortical mapping,A11,A11: Operations on Tissue of Brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.6,Live
A118,A118: Other specified operations on tissue of brain,A11,A11: Operations on Tissue of Brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.5,Live
A119,A119: Unspecified operations on tissue of brain,A11,A11: Operations on Tissue of Brain,A01-A11,A01-A11: Tissue of brain,A,A: Nervous System,4.5,Live
A121,A121: Ventriculocisternostomy,A12,A12: Creation of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A122,A122: Creation of ventriculovascular shunt,A12,A12: Creation of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A123,A123: Creation of ventriculopleural shunt,A12,A12: Creation of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A124,A124: Creation of ventriculoperitoneal shunt,A12,A12: Creation of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A125,A125: Creation of subcutaneous cerebrospinal fluid reservoir,A12,A12: Creation of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A128,A128: Other specified creation of connection from ventricle of brain,A12,A12: Creation of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A129,A129: Unspecified creation of connection from ventricle of brain,A12,A12: Creation of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A131,A131: Maintenance of proximal catheter of cerebroventricular shunt,A13,A13: Attention to component of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A132,A132: Maintenance of distal catheter of cerebroventricular shunt,A13,A13: Attention to component of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A133,A133: Insertion of antisyphon device into cerebroventricular shunt,A13,A13: Attention to component of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A134,A134: Renewal of valve of cerebroventricular shunt,A13,A13: Attention to component of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A138,A138: Other specified attention to component of connection from ventricle of brain,A13,A13: Attention to component of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A139,A139: Unspecified attention to component of connection from ventricle of brain,A13,A13: Attention to component of connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A141,A141: Renewal of cerebroventricular shunt,A14,A14: Other operations on connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A142,A142: Revision of cerebroventricular shunt NEC,A14,A14: Other operations on connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A143,A143: Removal of cerebroventricular shunt,A14,A14: Other operations on connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A144,A144: Irrigation of cerebroventricular shunt,A14,A14: Other operations on connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A145,A145: Attention to cerebroventricular shunt NEC,A14,A14: Other operations on connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A148,A148: Other specified other operations on connection from ventricle of brain,A14,A14: Other operations on connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A149,A149: Unspecified other operations on connection from ventricle of brain,A14,A14: Other operations on connection from ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A161,A161: Open drainage of ventricle of brain NEC,A16,A16: Other open operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A168,A168: Other specified other open operations on ventricle of brain,A16,A16: Other open operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A169,A169: Unspecified other open operations on ventricle of brain,A16,A16: Other open operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A171,A171: Endoscopic extirpation of lesion of ventricle of brain,A17,A17: Therapeutic endoscopic operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A172,A172: Endoscopic third ventriculostomy,A17,A17: Therapeutic endoscopic operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.5,Live
A178,A178: Other specified therapeutic endoscopic operations on ventricle of brain,A17,A17: Therapeutic endoscopic operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A179,A179: Unspecified therapeutic endoscopic operations on ventricle of brain,A17,A17: Therapeutic endoscopic operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A181,A181: Diagnostic endoscopic examination of ventricle of brain and biopsy of lesion of ventricle of brain,A18,A18: Diagnostic endoscopic examination of ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A188,A188: Other specified diagnostic endoscopic examination of ventricle of brain,A18,A18: Diagnostic endoscopic examination of ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A189,A189: Unspecified diagnostic endoscopic examination of ventricle of brain,A18,A18: Diagnostic endoscopic examination of ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A201,A201: Drainage of ventricle of brain NEC,A20,A20: Other operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A202,A202: Ventriculography of brain,A20,A20: Other operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A203,A203: Monitoring of pressure in ventricle of brain,A20,A20: Other operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A208,A208: Other specified other operations on ventricle of brain,A20,A20: Other operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A209,A209: Unspecified other operations on ventricle of brain,A20,A20: Other operations on ventricle of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A221,A221: Drainage of subarachnoid space of brain,A22,A22: Operations on subarachnoid space of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A222,A222: Puncture of cistern of brain,A22,A22: Operations on subarachnoid space of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A223,A223: Isotopic cisternography,A22,A22: Operations on subarachnoid space of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A228,A228: Other specified operations on subarachnoid space of brain,A22,A22: Operations on subarachnoid space of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A229,A229: Unspecified operations on subarachnoid space of brain,A22,A22: Operations on subarachnoid space of brain,A12-A22,A12-A22: Ventricle of brain & subarachnoid space,A,A: Nervous System,4.2,Live
A241,A241: Primary microsurgical graft to facial nerve (vii),A24,A24: Graft to cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A242,A242: Secondary microsurgical graft to facial nerve (vii),A24,A24: Graft to cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A243,A243: Microsurgical graft to facial nerve (vii) NEC,A24,A24: Graft to cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A244,A244: Primary microsurgical graft to cranial nerve NEC,A24,A24: Graft to cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A245,A245: Secondary microsurgical graft to cranial nerve NEC,A24,A24: Graft to cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A246,A246: Microsurgical graft to cranial nerve NEC,A24,A24: Graft to cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A248,A248: Other specified graft to cranial nerve,A24,A24: Graft to cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A249,A249: Unspecified graft to cranial nerve,A24,A24: Graft to cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A251,A251: Intracranial transection of optic nerve (ii),A25,A25: Intracranial transection of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A252,A252: Intracranial transection of oculomotor nerve (iii),A25,A25: Intracranial transection of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A253,A253: Intracranial transection of trigeminal nerve (v),A25,A25: Intracranial transection of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A254,A254: Intracranial transection of facial nerve (vii),A25,A25: Intracranial transection of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A255,A255: Intracranial transection of acoustic nerve (viii),A25,A25: Intracranial transection of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A256,A256: Intracranial transection of glossopharyngeal nerve (ix),A25,A25: Intracranial transection of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A257,A257: Intracranial transection of vagus nerve (x),A25,A25: Intracranial transection of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A258,A258: Intracranial transection of specified cranial nerve NEC,A25,A25: Intracranial transection of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A259,A259: Unspecified intracranial transection of cranial nerve,A25,A25: Intracranial transection of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A261,A261: Intracranial destruction of optic nerve (ii),A26,A26: Other intracranial destruction of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A262,A262: Intracranial destruction of oculomotor nerve (iii),A26,A26: Other intracranial destruction of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A263,A263: Intracranial destruction of trigeminal nerve (v),A26,A26: Other intracranial destruction of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A264,A264: Intracranial destruction of facial nerve (vii),A26,A26: Other intracranial destruction of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A265,A265: Intracranial destruction of acoustic nerve (viii),A26,A26: Other intracranial destruction of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A266,A266: Intracranial destruction of glossopharyngeal nerve (ix),A26,A26: Other intracranial destruction of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A267,A267: Intracranial destruction of vagus nerve (x),A26,A26: Other intracranial destruction of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A268,A268: Intracranial destruction of specified cranial nerve NEC,A26,A26: Other intracranial destruction of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A269,A269: Unspecified other intracranial destruction of cranial nerve,A26,A26: Other intracranial destruction of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A271,A271: Extracranial truncal vagotomy,A27,A27: Extracranial extirpation of vagus nerve (x),A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A272,A272: Proximal gastric vagotomy,A27,A27: Extracranial extirpation of vagus nerve (x),A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A273,A273: Selective extracranial vagotomy NEC,A27,A27: Extracranial extirpation of vagus nerve (x),A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A278,A278: Other specified extracranial extirpation of vagus nerve (x),A27,A27: Extracranial extirpation of vagus nerve (x),A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A279,A279: Unspecified extracranial extirpation of vagus nerve (x),A27,A27: Extracranial extirpation of vagus nerve (x),A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A281,A281: Extracranial transection of trigeminal nerve (v) NEC,A28,A28: Extracranial extirpation of other cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A282,A282: Extracranial transection of accessory nerve (xi) NEC,A28,A28: Extracranial extirpation of other cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A288,A288: Other specified extracranial extirpation of other cranial nerve,A28,A28: Extracranial extirpation of other cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A289,A289: Unspecified extracranial extirpation of other cranial nerve,A28,A28: Extracranial extirpation of other cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A291,A291: Excision of lesion of optic nerve (ii),A29,A29: Excision of lesion of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A292,A292: Excision of lesion of oculomotor nerve (iii),A29,A29: Excision of lesion of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A293,A293: Excision of lesion of trigeminal nerve (v),A29,A29: Excision of lesion of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A294,A294: Excision of lesion of facial nerve (vii),A29,A29: Excision of lesion of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A295,A295: Excision of lesion of acoustic nerve (viii),A29,A29: Excision of lesion of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A296,A296: Excision of lesion of glossopharyngeal nerve (ix),A29,A29: Excision of lesion of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A297,A297: Excision of lesion of vagus nerve (x),A29,A29: Excision of lesion of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
A298,A298: Excision of lesion of specified cranial nerve NEC,A29,A29: Excision of lesion of cranial nerve,A24-A36,A24-A36: Cranial nerves,A,A: Nervous System,4.2,Live
